Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Cell	8	 	32.406	34.931	1	300
Journal of Molecular Biology	6	8	4.008	4.095	2	34
Proceedings of the National Academy of Sciences of the United States of America	10	 	9.771	10.591	1	25
Science (New York)	10	8	31.377	31.777	2	157
Biochemistry	6	 	3.226	3.15	1	22
Blood	6	 	10.558	10.075	1	24
Development	6	 	6.898	7.476	1	13
Science (New York)	8	 	31.377	31.777	1	31
Diabetes	6	 	8.889	8.484	1	4
The Journal of Clinical Investigation	6	 	14.152	16.641	1	35
Nature Neuroscience	8	8	14.191	16.19	2	463
Molecular Cell	10	 	14.194	14.447	1	38
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	73
Infection and Immunity	8	6	4.098	4.091	2	47
The Journal of Clinical Investigation	8	 	14.152	16.641	1	126
Nature Immunology	8	 	25.668	25.934	1	80
Evolution; International Journal of Organic Evolution	6	6	5.659	6.041	2	30
Nature Methods	6	 	20.721	19.286	1	200
Science (New York)	10	10	31.377	31.777	2	135
Nature Immunology	6	8	25.668	25.934	2	31
Rapid Communications in Mass Spectrometry	6	 	2.846	2.786	1	3
Molecular and Cellular Biology	6	 	6.188	6.381	1	25
Journal of the American Chemical Society	6	 	9.023	8.981	1	59
Molecular and Cellular Biology	6	 	6.188	6.381	1	66
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	132
The Plant Cell	8	6	9.396	10.648	2	44
Cell	8	8	32.406	34.931	2	275
The Journal of Biological Chemistry	8	 	5.328	5.498	1	133
Neuron	8	 	14.027	14.927	1	41
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	44
Biodegradation	6	 	2.012	2.304	1	4
Journal of Virology	8	 	5.189	5.257	1	47
Journal of the American Chemical Society	6	 	9.023	8.981	1	34
Organic Letters	6	 	5.25	4.962	1	17
The Journal of Clinical Investigation	8	8	14.152	16.641	2	152
Neurology	6	 	8.017	7.518	1	91
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	116
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	156
Nature Medicine	6	 	25.43	27.887	1	64
Journal of Molecular Biology	6	 	4.008	4.095	1	44
The EMBO Journal	6	6	10.124	9.369	2	40
Cell	6	6	32.406	34.931	2	70
Organic Letters	6	 	5.25	4.962	1	43
Nature Cell Biology	6	 	19.407	19.578	1	86
Journal of Neurophysiology	8	6	3.114	3.686	2	288
The Journal of Neuroscience	6	 	7.271	8.068	1	52
Developmental Cell	6	 	13.946	14.24	1	27
Plant Physiology	6	 	6.451	7.016	1	68
Molecular and Biochemical Parasitology	6	 	2.875	2.963	1	30
Nature	8	10	36.104	35.248	2	448
Nature	8	6	36.104	35.248	2	65
Development	6	 	6.898	7.476	1	41
Neuron	6	 	14.027	14.927	1	63
Nature Neuroscience	6	 	14.191	16.19	1	74
Science (New York)	6	8	31.377	31.777	2	226
Neuron	6	6	14.027	14.927	2	56
Neuron	8	 	14.027	14.927	1	96
Nature	6	 	36.104	35.248	1	430
Current Biology	8	 	10.026	11.436	1	129
Nature Neuroscience	6	6	14.191	16.19	2	90
Molecular Cell	6	 	14.194	14.447	1	32
The Journal of Cell Biology	8	6	9.921	10.123	2	46
Developmental Cell	8	8	13.946	14.24	2	76
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	43
The Journal of Neuroscience	6	 	7.271	8.068	1	37
The Journal of Neuroscience	6	 	7.271	8.068	1	78
The Journal of Neuroscience	8	 	7.271	8.068	1	69
International Immunology	6	 	3.301	3.354	1	53
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	42
Science (New York)	8	 	31.377	31.777	1	51
Biologicals	8	 	1.774	1.649	1	21
Cell	6	6	32.406	34.931	2	81
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	957
Cancer Cell	6	 	26.925	28.438	1	131
Journal of Immunology	6	 	5.745	5.909	1	39
Nature Biotechnology	10	 	31.09	29.065	1	194
The Plant Cell	8	 	9.396	10.648	1	98
Nature	6	6	36.104	35.248	2	287
Journal of Immunology	6	 	5.745	5.909	1	59
Nature	10	8	36.104	35.248	2	167
Circulation Research	8	 	9.504	10.19	1	75
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	29
Angewandte Chemie	6	 	12.73	12.05	1	33
Science (New York)	6	6	31.377	31.777	2	127
The Journal of Cell Biology	8	 	9.921	10.123	1	383
Eukaryotic Cell	8	6	3.395	3.637	2	34
The Journal of Neuroscience	6	 	7.271	8.068	1	32
The Journal of Cell Biology	8	6	9.921	10.123	2	40
The EMBO Journal	6	 	10.124	9.369	1	69
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	25
Nature	8	6	36.104	35.248	2	122
Nature Genetics	8	 	36.377	32.701	1	89
Genes &amp; Development	8	 	12.889	13.892	1	72
Nature Cell Biology	6	6	19.407	19.578	2	77
Science (New York)	8	 	31.377	31.777	1	161
Biological Psychiatry	6	 	8.674	9.441	1	85
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	65
Nature Neuroscience	8	 	14.191	16.19	1	165
The Journal of Experimental Medicine	6	 	14.776	15.7	1	180
Science (New York)	6	 	31.377	31.777	1	280
Nature	8	 	36.104	35.248	1	494
Immunity	8	 	24.221	22.133	1	56
The American Naturalist	6	 	4.736	5.385	1	52
Nucleic Acids Research	8	 	7.836	7.314	1	22
The Journal of Neuroscience	6	 	7.271	8.068	1	15
Cell	8	8	32.406	34.931	2	102
The Journal of Biological Chemistry	8	 	5.328	5.498	1	55
Human Molecular Genetics	6	 	8.058	8.145	1	75
Neuron	6	 	14.027	14.927	1	284
Gynecological Endocrinology	6	 	1.461	1.504	1	17
The Journal of Biological Chemistry	6	 	5.328	5.498	1	105
Cell	8	 	32.406	34.931	1	84
Science (New York)	6	 	31.377	31.777	1	220
Developmental Biology	6	 	4.094	4.42	1	43
Nature	6	6	36.104	35.248	2	113
Protein Expression and Purification	6	6	1.644	1.925	2	133
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	167
Cell	6	 	32.406	34.931	1	104
Journal of the American Chemical Society	6	6	9.023	8.981	2	23
Molecular and Cellular Biology	6	6	6.188	6.381	2	50
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	39
Cell	10	 	32.406	34.931	1	87
Molecular Biology of the Cell	8	8	5.861	5.949	2	105
Global biogeochemical cycles	10	 	5.263	5.936	1	185
FEBS Letters	6	 	3.601	3.399	1	28
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	41
Psychopharmacology	6	 	3.817	4.148	1	18
Nature	8	8	36.104	35.248	2	177
Nature Genetics	8	 	36.377	32.701	1	180
Nature Medicine	8	8	25.43	27.887	2	170
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	83
Endocrinology	6	 	4.993	5.265	1	12
The Journal of Biological Chemistry	6	 	5.328	5.498	1	44
Angewandte Chemie	6	 	12.73	12.05	1	49
The New England Journal of Medicine	6	 	53.486	52.363	1	389
The Journal of General Physiology	8	 	4.283	4.712	1	47
Journal of Virology	8	 	5.189	5.257	1	47
PLoS Biology	6	 	12.472	14.376	1	16
Nature Genetics	8	 	36.377	32.701	1	70
Journal of Virology	6	 	5.189	5.257	1	50
Nature Genetics	8	8	36.377	32.701	2	98
Molecular Microbiology	6	 	4.819	5.207	1	8
Science (New York)	10	10	31.377	31.777	2	974
The Plant Cell	6	 	9.396	10.648	1	41
BMC Biology	10	 	5.203	5.479	1	55
Journal of Molecular Biology	6	 	4.008	4.095	1	21
EMBO Reports	6	6	7.822	7.488	2	49
Molecular Biology of the Cell	6	 	5.861	5.949	1	40
Molecular and Cellular Biology	6	 	6.188	6.381	1	49
Nature Biotechnology	6	 	31.09	29.065	1	94
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	30
Science (New York)	6	 	31.377	31.777	1	99
Neuron	6	 	14.027	14.927	1	165
Journal of the American Chemical Society	6	 	9.023	8.981	1	114
The Journal of Cell Biology	6	8	9.921	10.123	2	54
Developmental Cell	6	 	13.946	14.24	1	95
Developmental Cell	6	6	13.946	14.24	2	101
Mycologia	6	 	1.641	2.316	1	30
RNA (New York)	6	 	6.051	5.486	1	20
The Journal of Biological Chemistry	6	 	5.328	5.498	1	42
Current Biology	6	 	10.026	11.436	1	134
Nature	10	8	36.104	35.248	2	53
Genetics	6	 	4.087	4.311	1	15
Nature	10	10	36.104	35.248	2	252
Journal of Cell Science	8	 	6.29	6.731	1	107
Plant Physiology	6	 	6.451	7.016	1	27
European Journal of Immunology	6	 	4.942	4.705	1	390
Gene Expression Patterns	6	 	2.052	2.167	1	10
Developmental Cell	8	 	13.946	14.24	1	37
Diabetes	8	 	8.889	8.484	1	52
Developmental Dynamics	6	 	2.864	3.018	1	10
The Journal of Cell Biology	6	8	9.921	10.123	2	60
Aquatic Toxicology	6	 	3.333	3.822	1	5
Journal of Clinical Microbiology	8	 	4.22	4.258	1	108
Science (New York)	6	8	31.377	31.777	2	293
Development	6	 	6.898	7.476	1	12
Nature	8	 	36.104	35.248	1	105
Learning &amp; Memory	8	 	4.607	4.778	1	55
Journal of Experimental Botany	6	 	4.818	4.99	1	35
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	107
Neurobiology of Learning and Memory	8	 	3.701	3.721	1	25
Nature	8	8	36.104	35.248	2	51
Vaccine	6	 	3.572	3.467	1	52
Nature Neuroscience	8	 	14.191	16.19	1	95
Extremophiles: Life Under Extreme Conditions	6	 	2.16	2.27	1	19
Neuron	6	8	14.027	14.927	2	48
Science (New York)	8	 	31.377	31.777	1	134
International Journal of Systematic and Evolutionary Microbiology	6	 	1.93	2.265	1	10
Genetics	6	 	4.087	4.311	1	30
Environmental Microbiology	6	 	5.537	5.638	1	26
Nucleic Acids Research	6	 	7.836	7.314	1	99
Journal of Immunology	6	 	5.745	5.909	1	34
The Journal of Experimental Medicine	6	 	14.776	15.7	1	127
Plant Physiology	6	 	6.451	7.016	1	108
Nature Genetics	8	8	36.377	32.701	2	98
Psychopharmacology	6	 	3.817	4.148	1	87
Journal of Neurophysiology	8	 	3.114	3.686	1	22
Chembiochem	6	 	3.945	3.751	1	14
Proteins	6	 	2.813	3.181	1	172
The Plant Cell	6	6	9.396	10.648	2	88
Oecologia	6	 	3.517	4.116	1	28
Cancer Research	6	 	8.234	8.438	1	21
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	84
Cell	6	 	32.406	34.931	1	89
Biophysical Journal	6	 	4.218	4.692	1	16
The Journal of Clinical Investigation	8	 	14.152	16.641	1	85
The EMBO Journal	6	 	10.124	9.369	1	70
Nature	8	 	36.104	35.248	1	144
Genome Research	6	 	13.588	11.971	1	31
Journal of Bacteriology	6	 	3.726	3.818	1	30
The Journal of Clinical Investigation	6	8	14.152	16.641	2	532
The EMBO Journal	8	 	10.124	9.369	1	133
Biological Psychiatry	6	 	8.674	9.441	1	73
Molecular Cell	6	 	14.194	14.447	1	70
Cell	6	 	32.406	34.931	1	92
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	195
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	67
Cell	6	10	32.406	34.931	2	1
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	19
Journal of the American Chemical Society	6	 	9.023	8.981	1	39
The EMBO Journal	8	10	10.124	9.369	2	52
Neuron	8	 	14.027	14.927	1	186
Nature Cell Biology	6	8	19.407	19.578	2	266
Current Biology	6	 	10.026	11.436	1	63
The Journal of Neuroscience	6	 	7.271	8.068	1	94
Nature	8	6	36.104	35.248	2	141
"Plant, Cell &amp; Environment"	6	 	5.145	5.618	1	60
The Journal of Clinical Investigation	8	 	14.152	16.641	1	311
Journal of Virology	6	 	5.189	5.257	1	65
Science (New York)	10	 	31.377	31.777	1	61
Journal of Molecular Biology	6	6	4.008	4.095	2	188
Nature	8	 	36.104	35.248	1	90
The FEBS Journal	6	 	3.129	3.2	1	50
The Journal of Organic Chemistry	6	 	4.002	3.818	1	1
Bioinformatics	6	 	4.877	6.326	1	69
Journal of Insect Physiology	8	 	2.31	2.378	1	43
Nature	8	 	36.104	35.248	1	71
Nature Methods	6	 	20.721	19.286	1	146
Molecular Microbiology	6	 	4.819	5.207	1	11
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	105
Journal of Bacteriology	6	 	3.726	3.818	1	15
Cell Metabolism	6	 	18.207	20.13	1	124
The Journal of Cell Biology	6	 	9.921	10.123	1	70
Molecular Biology of the Cell	6	 	5.861	5.949	1	61
The Plant Cell	8	6	9.396	10.648	2	83
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	38
Genetics	6	6	4.087	4.311	2	43
Applied and Environmental Microbiology	6	 	3.778	4.529	1	27
Science (New York)	8	 	31.377	31.777	1	179
Science (New York)	8	8	31.377	31.777	2	253
Cell	10	10	32.406	34.931	2	143
Nature	6	6	36.104	35.248	2	308
The Plant Cell	6	 	9.396	10.648	1	21
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	11
Molecular &amp; Cellular Proteomics	6	 	8.354	9.392	1	89
Journal of the American Chemical Society	8	 	9.023	8.981	1	35
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	34
Genetics	6	 	4.087	4.311	1	34
Science (New York)	10	10	31.377	31.777	2	330
Theoretical Population Biology	6	 	1.8	2.057	1	12
Cell	8	 	32.406	34.931	1	141
Nature	6	8	36.104	35.248	2	197
Molecular and Cellular Biology	6	 	6.188	6.381	1	73
Cell	6	 	32.406	34.931	1	57
The Plant Cell	6	 	9.396	10.648	1	79
British Journal of Pharmacology	6	 	4.925	4.708	1	8
Journal of the American Chemical Society	6	6	9.023	8.981	2	42
Regulatory Peptides	6	 	2.473	2.387	1	84
Autonomic Neuroscience: Basic &amp; Clinical	6	 	1.671	1.763	1	4
Neuron	8	10	14.027	14.927	2	125
Journal of Molecular Endocrinology	8	 	3.628	3.25	1	4
Science (New York)	10	6	31.377	31.777	2	132
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	197
Infection and Immunity	6	 	4.098	4.091	1	56
Molecular Biology and Evolution	8	10	5.51	8.907	2	29
Journal of Molecular Biology	6	 	4.008	4.095	1	639
Science (New York)	8	8	31.377	31.777	2	162
Applied and Environmental Microbiology	6	 	3.778	4.529	1	41
Science (New York)	6	10	31.377	31.777	2	198
The Journal of Biological Chemistry	6	 	5.328	5.498	1	67
Biochemistry	6	 	3.226	3.15	1	13
Nature Genetics	8	 	36.377	32.701	1	139
Molecular and Cellular Biology	6	 	6.188	6.381	1	46
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	86
The EMBO Journal	6	 	10.124	9.369	1	48
Molecular Cell	8	 	14.194	14.447	1	59
The Journal of Comparative Neurology	6	 	3.774	4.043	1	4
Journal of Cellular Biochemistry	6	 	3.122	3.422	1	31
Nature Neuroscience	6	 	14.191	16.19	1	59
Development	6	6	6.898	7.476	2	25
Nature Medicine	10	10	25.43	27.887	2	1137
Nature	6	 	36.104	35.248	1	441
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	46
Neuron	6	6	14.027	14.927	2	89
Journal of Immunology	6	 	5.745	5.909	1	50
Journal of Molecular Biology	6	 	4.008	4.095	1	9
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	19
Applied and Environmental Microbiology	6	 	3.778	4.529	1	29
Organic Letters	8	 	5.25	4.962	1	56
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	44
Nucleic Acids Research	6	 	7.836	7.314	1	38
Prostaglandins &amp; Other Lipid Mediators	6	 	2.033	2.319	1	19
Nature Immunology	6	6	25.668	25.934	2	113
Journal of plankton research	6	 	1.749	2.337	1	85
Plant Molecular Biology	6	 	4.149	4.253	1	20
Developmental Cell	6	6	13.946	14.24	2	53
Neuron	6	 	14.027	14.927	1	35
The Journal of Cell Biology	6	 	9.921	10.123	1	76
Molecular and Cellular Neurosciences	6	 	3.861	3.959	1	27
Journal of Virology	10	8	5.189	5.257	2	353
Molecular Cell	8	6	14.194	14.447	2	793
Genes &amp; Development	8	8	12.889	13.892	2	553
Development	8	 	6.898	7.476	1	27
The Plant Cell	6	 	9.396	10.648	1	97
Journal of the American Chemical Society	6	 	9.023	8.981	1	132
International Immunology	6	 	3.301	3.354	1	75
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	25
Neuron	6	 	14.027	14.927	1	244
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	68
The Journal of Neuroscience	6	 	7.271	8.068	1	52
Development	8	 	6.898	7.476	1	14
Development	6	 	6.898	7.476	1	24
Cell	6	10	32.406	34.931	2	85
The Journal of Neuroscience	8	 	7.271	8.068	1	38
Neuron	8	8	14.027	14.927	2	256
Science (New York)	8	 	31.377	31.777	1	44
Structure	6	6	6.337	5.859	2	28
Journal of Molecular Biology	6	 	4.008	4.095	1	1
Hypertension	8	 	6.908	6.949	1	37
Blood	6	 	10.558	10.075	1	41
Molecular Microbiology	6	 	4.819	5.207	1	14
PLoS Biology	8	8	12.472	14.376	2	435
Developmental Biology	6	 	4.094	4.42	1	33
Nature	10	 	36.104	35.248	1	88
Journal of Neurophysiology	6	 	3.114	3.686	1	20
Behavioral Neuroscience	6	 	2.481	2.676	1	85
Archives of General Psychiatry	6	 	10.782	15.618	1	24
Molecular Cell	8	 	14.194	14.447	1	98
Molecular Biology and Evolution	6	 	5.51	8.907	1	92
Bioinformatics	6	 	4.877	6.326	1	65
Conservation Biology	6	 	4.894	5.963	1	39
The Journal of Neuroscience	8	 	7.271	8.068	1	34
Cell	10	 	32.406	34.931	1	198
American Journal of Respiratory Cell and Molecular Biology	8	 	4.426	4.482	1	23
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	60
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	97
The Journal of Infectious Diseases	8	 	6.288	6.103	1	80
Journal of Molecular Biology	6	 	4.008	4.095	1	8
Eukaryotic Cell	8	 	3.395	3.637	1	77
The Plant Cell	8	8	9.396	10.648	2	99
Genome Research	6	 	13.588	11.971	1	43
Science (New York)	6	 	31.377	31.777	1	153
Genetics	6	 	4.087	4.311	1	12
Biochemistry	8	6	3.226	3.15	2	5
Developmental Cell	6	8	13.946	14.24	2	152
Current Biology	8	 	10.026	11.436	1	134
Molecular Cell	8	 	14.194	14.447	1	171
Science (New York)	10	10	31.377	31.777	2	209
Cell	8	 	32.406	34.931	1	156
Ecology	6	 	5.073	6.218	1	101
Structure	6	 	6.337	5.859	1	23
Nature Immunology	6	8	25.668	25.934	2	248
PLoS Biology	10	8	12.472	14.376	2	140
Journal of Immunology	6	6	5.745	5.909	2	62
Nature	10	 	36.104	35.248	1	746
Nature	10	 	36.104	35.248	1	249
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	20
"Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavior"	6	 	2	2.138	1	16
Proteomics	6	 	4.815	4.94	1	24
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	137
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	70
Proteins	6	 	2.813	3.181	1	37
Nature Chemical Biology	6	 	15.808	16.321	1	29
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	70
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	186
Science (New York)	8	6	31.377	31.777	2	91
Journal of the American Chemical Society	8	6	9.023	8.981	2	28
Journal of the American Chemical Society	6	 	9.023	8.981	1	22
The Journal of Organic Chemistry	6	 	4.002	3.818	1	16
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	188
Molecular Cell	6	 	14.194	14.447	1	7
Science (New York)	6	8	31.377	31.777	2	419
Journal of Bacteriology	6	 	3.726	3.818	1	19
Molecular Cell	6	 	14.194	14.447	1	46
Current Biology	6	 	10.026	11.436	1	73
Science (New York)	6	 	31.377	31.777	1	65
Developmental Cell	8	 	13.946	14.24	1	85
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	80
Eukaryotic Cell	6	 	3.395	3.637	1	9
Current Biology	6	 	10.026	11.436	1	92
The EMBO Journal	6	 	10.124	9.369	1	61
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	37
Blood	6	 	10.558	10.075	1	78
Developmental Cell	6	8	13.946	14.24	2	156
Neuron	8	 	14.027	14.927	1	131
Nature Methods	6	 	20.721	19.286	1	88
PLoS Biology	8	6	12.472	14.376	2	210
Brain: A Journal of Neurology	8	 	9.232	10.143	1	31
Nature Genetics	6	 	36.377	32.701	1	57
Neurobiology of Disease	6	 	5.121	4.972	1	29
