Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,21,0,Sunset,May,2015,2015
ADULT,1,0,Park,October,2014,2014
ADULT,214,51,Park,July,2016,2003
ADULT,6,5,Chinatown,May,2015,2008
JUVENILE,795,334,Ortega,July,2016,2013
ADULT,8,8,Eureka Valley/Harvey Milk Memorial,February,2013,2012
JUVENILE,146,414,Mission Bay,July,2016,2015
JUVENILE,54,0,Ortega,March,2016,2013
ADULT,0,0,Main Library,None,None,2014
JUVENILE,41,1,Portola,July,2016,2015
JUVENILE,29,0,Merced,May,2015,2013
ADULT,6,0,Park,January,2016,2011
ADULT,390,137,Glen Park,February,2016,2003
ADULT,11,16,Noe Valley/Sally Brunn,January,2015,2003
ADULT,0,0,North Beach,None,None,2014
WELCOME,5,1,Main Library,October,2013,2013
SENIOR,176,21,Anza,July,2013,2008
STAFF,2184,2131,Main Library,July,2016,2003
JUVENILE,0,0,Glen Park,None,None,2015
ADULT,0,0,Main Library,None,None,2015
ADULT,46,13,Main Library,June,2016,2015
YOUNG ADULT,58,14,Bernal Heights,December,2015,2014
ADULT,4,0,Ingleside,February,2016,2012
ADULT,4,0,Excelsior,December,2015,2011
ADULT,6,3,Main Library,April,2014,2014
ADULT,14,1,Portola,July,2011,2010
YOUNG ADULT,118,2,Marina,August,2011,2003
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Mission,February,2007,2007
ADULT,63,58,Parkside,July,2016,2003
JUVENILE,81,3,Bayview/Linda Brooks-Burton,July,2016,2013
ADULT,13,3,Main Library,November,2013,2009
JUVENILE,22,0,Excelsior,February,2015,2013
ADULT,52,37,Mission,April,2016,2008
JUVENILE,1,0,Mission,July,2014,2012
JUVENILE,7,0,Merced,April,2015,2014
ADULT,0,0,Main Library,None,None,2012
SENIOR,2,0,Main Library,May,2013,2003
ADULT,25,1,Richmond,August,2014,2009
ADULT,0,0,Ingleside,None,None,2013
SENIOR,28,5,Bernal Heights,December,2015,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,148,16,Presidio,June,2016,2008
WELCOME,0,0,Main Library,None,None,2012
ADULT,158,70,Bernal Heights,July,2016,2003
ADULT,4,1,Anza,July,2014,2014
ADULT,72,4,Richmond,May,2016,2010
ADULT,0,0,Potrero,None,None,2015
ADULT,32,25,Marina,January,2015,2011
ADULT,20,12,Main Library,March,2016,2011
SENIOR,86,0,North Beach,July,2016,2015
ADULT,1,0,Excelsior,August,2015,2013
SENIOR,170,25,Glen Park,July,2016,2010
ADULT,0,0,Main Library,None,None,2015
ADULT,242,219,Noe Valley/Sally Brunn,May,2013,2003
YOUNG ADULT,263,1,Parkside,November,2015,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,78,1,Ingleside,November,2015,2012
ADULT,0,0,Main Library,None,None,2015
ADULT,232,15,Noe Valley/Sally Brunn,July,2016,2006
ADULT,399,16,Merced,August,2013,2003
ADULT,9,1,Mission Bay,September,2015,2015
ADULT,6,0,Unknown,July,2015,2015
SENIOR,24,0,North Beach,July,2016,2009
SENIOR,77,66,Parkside,October,2015,2010
ADULT,0,0,Chinatown,None,None,2016
ADULT,93,63,Richmond,May,2016,2003
YOUNG ADULT,74,0,Mission,September,2013,2008
SPECIAL,617,39,Library on Wheels,July,2016,2003
ADULT,0,0,Excelsior,None,None,2013
ADULT,4,0,Main Library,October,2014,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,113,0,Main Library,December,2014,2012
ADULT,0,0,Main Library,September,2010,2009
JUVENILE,21,0,Mission,August,2015,2014
ADULT,0,0,Western Addition,None,None,2014
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2015
JUVENILE,46,0,North Beach,November,2014,2013
ADULT,246,165,Main Library,February,2016,2004
ADULT,302,28,Excelsior,February,2016,2003
JUVENILE,2,0,Ortega,May,2015,2015
JUVENILE,13,0,Presidio,August,2013,2013
JUVENILE,72,13,Chinatown,August,2014,2010
ADULT,14,10,Richmond,April,2013,2011
ADULT,15,0,Western Addition,March,2015,2012
ADULT,69,25,Mission Bay,January,2015,2009
ADULT,0,0,Main Library,None,None,2015
ADULT,89,15,West Portal,May,2016,2008
ADULT,29,2,Western Addition,July,2016,2015
SENIOR,16,2,Mission,May,2015,2003
ADULT,20,1,Main Library,March,2015,2012
SENIOR,0,0,Chinatown,None,None,2014
ADULT,18,2,Eureka Valley/Harvey Milk Memorial,May,2015,2011
ADULT,54,82,Main Library,March,2015,2005
ADULT,203,9,Ortega,July,2016,2003
ADULT,29,6,Park,July,2016,2011
ADULT,8,4,Portola,May,2015,2003
ADULT,36,16,Chinatown,October,2014,2011
ADULT,15,0,Western Addition,October,2015,2015
ADULT,5,10,Main Library,January,2016,2015
ADULT,5,0,Main Library,August,2015,2012
ADULT,334,92,Glen Park,March,2016,2013
SENIOR,0,0,Merced,None,None,2015
JUVENILE,9,1,Bayview/Linda Brooks-Burton,September,2014,2013
WELCOME,0,0,Presidio,None,None,2016
YOUNG ADULT,29,1,Marina,September,2013,2013
JUVENILE,285,0,Marina,August,2013,2012
JUVENILE,339,152,West Portal,September,2015,2009
WELCOME,1,1,Ortega,February,2015,2015
ADULT,994,695,Ortega,July,2016,2003
ADULT,28,0,Mission,September,2011,2004
ADULT,106,3,Parkside,September,2013,2012
ADULT,55,3,Glen Park,December,2015,2012
ADULT,1,0,Richmond,October,2015,2015
ADULT,0,0,Merced,None,None,2014
ADULT,12,12,Main Library,June,2015,2014
ADULT,223,151,Mission,April,2016,2003
ADULT,28,21,Main Library,March,2016,2009
ADULT,3,0,Sunset,July,2016,2016
YOUNG ADULT,192,64,Richmond,May,2015,2012
ADULT,30,15,Bernal Heights,August,2010,2003
JUVENILE,6,0,West Portal,July,2016,2016
ADULT,55,52,Chinatown,July,2012,2011
ADULT,251,252,Parkside,June,2016,2008
ADULT,26,0,Main Library,July,2016,2015
WELCOME,0,0,North Beach,None,None,2013
ADULT,2372,3207,Noe Valley/Sally Brunn,July,2016,2003
VISITOR,7,7,Main Library,December,2015,2015
JUVENILE,26,2,Bayview/Linda Brooks-Burton,April,2016,2014
YOUNG ADULT,1217,114,Merced,July,2016,2005
SENIOR,0,0,Ortega,None,None,2014
ADULT,21,2,Main Library,July,2014,2008
ADULT,0,0,Main Library,None,None,2014
ADULT,268,418,Main Library,July,2016,2014
ADULT,77,24,Glen Park,October,2014,2004
ADULT,1,0,Mission,September,2014,2011
ADULT,21,4,Main Library,June,2015,2014
ADULT,348,0,Main Library,July,2016,2007
ADULT,0,0,Main Library,None,None,2015
ADULT,1,0,Main Library,January,2016,2012
ADULT,473,44,West Portal,July,2013,2003
ADULT,238,80,Mission,July,2016,2003
SENIOR,329,43,Parkside,May,2014,2011
ADULT,0,0,Parkside,None,None,2016
SENIOR,2944,803,Main Library,July,2016,2008
ADULT,5,3,Sunset,January,2016,2012
ADULT,56,12,Western Addition,June,2016,2014
JUVENILE,88,14,Mission Bay,September,2015,2010
ADULT,0,0,Merced,None,None,2014
ADULT,125,165,Bernal Heights,July,2014,2010
ADULT,6,2,Main Library,December,2013,2013
WELCOME,2,0,Main Library,April,2014,2014
ADULT,128,4,Richmond,April,2016,2008
ADULT,6,12,Main Library,May,2013,2003
ADULT,88,34,Excelsior,July,2012,2003
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2014
ADULT,931,151,Main Library,March,2016,2005
ADULT,11,15,Ortega,March,2012,2003
SENIOR,1,0,Park,February,2015,2015
ADULT,1,0,Western Addition,September,2013,2013
ADULT,1,2,Western Addition,February,2013,2013
ADULT,394,29,Mission,April,2014,2003
ADULT,0,0,Main Library,None,None,2016
ADULT,4,0,Golden Gate Valley,November,2014,2014
ADULT,14,19,Mission Bay,February,2014,2009
ADULT,4,0,Main Library,February,2016,2015
ADULT,94,1,Parkside,November,2015,2008
ADULT,21,3,Richmond,October,2015,2013
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
ADULT,29,0,Mission Bay,December,2015,2015
JUVENILE,1,0,Bernal Heights,July,2016,2015
JUVENILE,64,1,North Beach,April,2016,2012
JUVENILE,139,10,Mission,September,2015,2009
ADULT,0,0,Richmond,None,None,2014
TEACHER CARD,10,0,Potrero,March,2015,2014
ADULT,49,22,Main Library,January,2016,2003
ADULT,2,0,Merced,March,2015,2015
ADULT,800,326,Chinatown,July,2016,2009
ADULT,9,0,Richmond,February,2016,2003
JUVENILE,0,0,Portola,None,None,2015
ADULT,63,66,Chinatown,April,2013,2010
ADULT,52,0,Visitacion Valley,February,2016,2013
ADULT,2893,3063,Anza,July,2016,2003
ADULT,9,2,Ortega,January,2015,2012
ADULT,12,2,Ortega,August,2013,2008
ADULT,58,15,Western Addition,July,2016,2008
SENIOR,0,0,Main Library,None,None,2015
ADULT,29,0,West Portal,August,2015,2014
ADULT,40,2,Ortega,April,2016,2012
ADULT,102,98,Main Library,July,2016,2013
ADULT,0,0,North Beach,None,None,2016
SENIOR,39,4,Ortega,June,2016,2011
ADULT,779,1065,Main Library,July,2016,2003
ADULT,161,39,Anza,December,2013,2011
ADULT,6,10,Main Library,March,2008,2003
ADULT,27,39,Main Library,June,2016,2014
ADULT,79,18,Main Library,February,2016,2009
ADULT,2,0,Potrero,March,2014,2013
WELCOME,0,0,Main Library,None,None,2015
ADULT,8,0,Main Library,May,2015,2012
ADULT,111,2,Excelsior,January,2016,2012
ADULT,1591,615,Main Library,July,2016,2003
JUVENILE,86,2,Main Library,May,2016,2013
ADULT,6,0,Ingleside,May,2015,2003
ADULT,36,76,Main Library,September,2013,2013
ADULT,0,0,Western Addition,None,None,2016
JUVENILE,178,35,Main Library,March,2014,2007
WELCOME,0,0,Main Library,None,None,2014
ADULT,13,5,Merced,June,2016,2007
JUVENILE,174,16,Anza,May,2016,2012
ADULT,0,0,Parkside,None,None,2015
JUVENILE,0,0,Potrero,None,None,2013
ADULT,279,109,Main Library,July,2016,2008
SENIOR,76,3,Main Library,July,2015,2003
YOUNG ADULT,0,0,Main Library,None,None,2013
SENIOR,238,35,Richmond,July,2016,2003
ADULT,10,0,Main Library,February,2016,2012
JUVENILE,312,3,Bernal Heights,September,2015,2012
ADULT,56,13,Mission,August,2013,2003
YOUNG ADULT,278,24,Chinatown,June,2016,2006
ADULT,56,12,Main Library,July,2016,2005
JUVENILE,90,0,Eureka Valley/Harvey Milk Memorial,July,2016,2015
ADULT,18,0,Chinatown,September,2013,2003
ADULT,124,320,Main Library,July,2016,2005
ADULT,136,95,Richmond,May,2009,2005
ADULT,844,165,Marina,July,2016,2004
ADULT,0,0,Main Library,None,None,2013
ADULT,42,26,Main Library,February,2014,2006
ADULT,43,32,Mission,June,2016,2003
SENIOR,0,0,Main Library,None,None,2015
ADULT,5,4,Mission,December,2011,2011
ADULT,4,20,Main Library,September,2015,2015
ADULT,224,89,Chinatown,August,2014,2003
ADULT,35,3,Main Library,June,2015,2014
ADULT,6,3,Noe Valley/Sally Brunn,July,2015,2014
ADULT,11,5,Ortega,June,2014,2009
ADULT,0,0,Main Library,None,None,2016
ADULT,4,0,Anza,August,2014,2012
JUVENILE,342,443,Ortega,January,2014,2009
ADULT,51,54,Main Library,October,2015,2003
ADULT,8,0,Eureka Valley/Harvey Milk Memorial,January,2016,2003
ADULT,634,811,Mission,July,2016,2004
YOUNG ADULT,0,0,Main Library,None,None,2016
JUVENILE,28,3,Portola,May,2016,2015
ADULT,3,6,Chinatown,June,2015,2015
SENIOR,82,3,Sunset,May,2016,2003
ADULT,2,0,Glen Park,October,2015,2012
YOUNG ADULT,4,0,Western Addition,November,2013,2010
ADULT,145,1,Main Library,July,2016,2003
ADULT,853,36,Main Library,May,2015,2003
ADULT,14,0,Main Library,October,2015,2009
ADULT,5,5,Ingleside,February,2014,2013
YOUNG ADULT,316,226,Presidio,June,2016,2006
ADULT,532,610,Eureka Valley/Harvey Milk Memorial,October,2015,2003
JUVENILE,280,26,Chinatown,July,2016,2014
ADULT,0,0,Mission Bay,None,None,2016
STAFF,4,0,Main Library,July,2016,2006
ADULT,36,0,Excelsior,September,2009,2005
ADULT,10,0,Mission,September,2015,2014
SENIOR,27,5,West Portal,February,2016,2006
SENIOR,6,0,Main Library,February,2014,2003
ADULT,164,342,Richmond,January,2013,2003
ADULT,77,0,Bernal Heights,January,2016,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,264,116,Excelsior,April,2009,2003
WELCOME,0,0,Main Library,None,None,2015
ADULT,18,0,Ingleside,January,2016,2013
ADULT,22,0,Richmond,January,2015,2014
JUVENILE,27,0,Excelsior,July,2016,2014
SENIOR,0,0,Main Library,None,None,2014
ADULT,9,0,West Portal,August,2013,2006
JUVENILE,8,0,Merced,July,2014,2014
SENIOR,111,8,Eureka Valley/Harvey Milk Memorial,October,2015,2003
ADULT,4,2,Western Addition,July,2015,2014
ADULT,29,0,Main Library,October,2013,2013
SENIOR,688,114,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,7,2,Main Library,March,2014,2013
ADULT,3,0,Merced,July,2013,2013
ADULT,0,0,Ingleside,None,None,2015
ADULT,9,0,Main Library,March,2013,2013
ADULT,0,0,Main Library,None,None,2014
ADULT,85,0,Richmond,April,2016,2015
ADULT,8,0,Mission Bay,December,2015,2015
ADULT,408,7,Main Library,May,2016,2009
ADULT,11,0,Merced,December,2014,2014
ADULT,73,16,Chinatown,November,2009,2004
ADULT,309,493,Park,October,2015,2011
ADULT,45,8,Chinatown,February,2015,2010
ADULT,346,450,Unknown,September,2015,2009
ADULT,69,45,Richmond,March,2016,2009
ADULT,99,7,North Beach,June,2014,2011
ADULT,570,513,Main Library,February,2015,2008
SENIOR,234,32,Western Addition,May,2015,2003
ADULT,403,185,Noe Valley/Sally Brunn,May,2016,2003
ADULT,45,104,Main Library,July,2016,2003
ADULT,2,3,Noe Valley/Sally Brunn,March,2016,2014
ADULT,0,0,Bernal Heights,None,None,2016
JUVENILE,53,0,Mission,July,2016,2011
ADULT,1399,304,Main Library,July,2016,2005
ADULT,43,24,West Portal,September,2015,2008
SENIOR,16,4,Main Library,December,2015,2003
SENIOR,14,0,Portola,April,2016,2013
ADULT,279,642,Anza,July,2016,2012
ADULT,14,8,Main Library,March,2015,2013
YOUNG ADULT,65,19,Richmond,December,2015,2010
ADULT,0,0,Main Library,September,2010,2009
ADULT,17,0,Excelsior,June,2014,2011
JUVENILE,1,0,Visitacion Valley,April,2016,2016
ADULT,1795,1242,Noe Valley/Sally Brunn,July,2016,2009
ADULT,0,0,Main Library,None,None,2016
JUVENILE,21,0,Main Library,March,2016,2015
JUVENILE,7,0,Visitacion Valley,January,2014,2013
ADULT,8,5,Golden Gate Valley,March,2015,2009
ADULT,820,40,Mission,January,2015,2005
ADULT,988,401,Main Library,July,2016,2006
ADULT,31,7,Main Library,May,2016,2012
ADULT,86,51,Main Library,October,2014,2003
JUVENILE,19,1,Presidio,June,2016,2013
SENIOR,13,1,Eureka Valley/Harvey Milk Memorial,March,2016,2016
ADULT,0,0,Main Library,None,None,2013
SENIOR,0,0,Main Library,None,None,2015
WELCOME,0,0,Bayview/Linda Brooks-Burton,August,2013,2013
YOUNG ADULT,1988,33,Main Library,July,2016,2009
SENIOR,15,0,Excelsior,May,2016,2016
ADULT,4,0,Park,May,2015,2015
RETIRED STAFF,5172,2994,Main Library,July,2016,2003
ADULT,2,0,Portola,November,2013,2013
ADULT,80,23,North Beach,July,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,59,12,Portola,March,2014,2009
YOUNG ADULT,0,0,North Beach,None,None,2014
YOUNG ADULT,65,15,Chinatown,January,2013,2007
SENIOR,3,2,West Portal,August,2015,2015
ADULT,7,13,Parkside,July,2016,2008
ADULT,4,2,Main Library,March,2016,2016
ADULT,0,0,Park,None,None,2014
ADULT,164,59,Eureka Valley/Harvey Milk Memorial,July,2016,2009
ADULT,42,12,Marina,June,2014,2009
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
ADULT,4,3,Main Library,December,2010,2009
ADULT,45,12,Park,April,2016,2009
WELCOME,0,0,Main Library,None,None,2015
ADULT,217,232,Bernal Heights,June,2016,2014
SENIOR,3120,1139,Potrero,July,2016,2010
ADULT,2,0,Main Library,February,2015,2012
ADULT,9,0,Bayview/Linda Brooks-Burton,May,2013,2013
JUVENILE,15,0,Ortega,April,2013,2012
ADULT,1,0,Anza,November,2014,2013
SENIOR,1281,1279,Sunset,August,2013,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,1,1,Mission,March,2015,2015
ADULT,12,9,Main Library,July,2015,2015
WELCOME,0,0,Merced,None,None,2016
ADULT,150,20,Park,January,2014,2006
ADULT,174,28,Glen Park,November,2015,2003
ADULT,0,0,Richmond,None,None,2012
ADULT,94,49,Main Library,November,2015,2010
ADULT,2,8,Main Library,May,2014,2014
ADULT,111,351,Main Library,June,2016,2012
YOUNG ADULT,0,0,Ingleside,None,None,2013
ADULT,19,1,Ortega,June,2008,2006
ADULT,109,0,Mission,June,2015,2004
WELCOME,1,0,Noe Valley/Sally Brunn,August,2014,2014
WELCOME,1,0,Main Library,June,2014,2014
ADULT,124,22,Parkside,December,2015,2003
ADULT,27,9,West Portal,July,2014,2005
YOUNG ADULT,940,9,Chinatown,May,2014,2003
ADULT,0,0,Main Library,None,None,2014
JUVENILE,7,0,Richmond,October,2015,2015
SENIOR,121,6,Richmond,December,2014,2010
YOUNG ADULT,13,1,Mission,July,2016,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,47,57,Bernal Heights,July,2016,2003
SENIOR,1878,1449,Merced,July,2016,2003
ADULT,46,12,Park,December,2015,2003
ADULT,78,34,Eureka Valley/Harvey Milk Memorial,May,2016,2012
JUVENILE,632,15,Portola,July,2016,2010
ADULT,22,0,Excelsior,July,2010,2008
SENIOR,2513,65,Chinatown,July,2016,2004
JUVENILE,252,2,Main Library,June,2016,2009
ADULT,1,0,Ingleside,October,2015,2015
JUVENILE,172,26,Bernal Heights,July,2016,2015
SENIOR,3,0,Main Library,August,2009,2009
ADULT,192,18,Park,November,2015,2014
YOUNG ADULT,36,0,Ingleside,February,2016,2015
SENIOR,0,0,Main Library,None,None,2015
ADULT,380,151,Richmond,September,2012,2003
JUVENILE,180,0,Potrero,July,2016,2014
ADULT,0,0,Portola,None,None,2016
ADULT,561,15,Ortega,June,2016,2003
JUVENILE,36,0,Western Addition,July,2016,2016
ADULT,11,6,Potrero,March,2016,2014
ADULT,228,144,Chinatown,August,2014,2003
ADULT,385,267,Chinatown,April,2016,2003
ADULT,578,173,Main Library,April,2014,2003
YOUNG ADULT,21,0,Eureka Valley/Harvey Milk Memorial,October,2013,2010
SENIOR,0,0,Main Library,None,None,2016
JUVENILE,33,1,Eureka Valley/Harvey Milk Memorial,August,2015,2015
ADULT,12,2,Richmond,December,2015,2011
ADULT,8,0,Merced,July,2016,2014
ADULT,68,25,Bayview/Linda Brooks-Burton,December,2015,2013
JUVENILE,149,21,Richmond,May,2016,2011
ADULT,0,0,Main Library,None,None,2013
ADULT,265,254,Sunset,May,2016,2004
ADULT,1,0,North Beach,September,2014,2014
ADULT,4,0,Main Library,September,2011,2010
JUVENILE,480,279,Richmond,July,2016,2010
ADULT,16,15,Main Library,April,2014,2014
ADULT,3,0,Richmond,June,2010,2009
ADULT,27,0,Richmond,July,2016,2010
ADULT,408,109,Richmond,May,2016,2003
TEACHER CARD,17,2,Presidio,May,2016,2015
YOUNG ADULT,18,9,Noe Valley/Sally Brunn,June,2016,2009
ADULT,0,0,Main Library,None,None,2016
ADULT,92,2,Portola,January,2016,2007
ADULT,46,31,Richmond,December,2013,2010
SENIOR,73,5,Main Library,December,2013,2013
ADULT,211,0,Main Library,January,2016,2015
JUVENILE,18,0,Glen Park,June,2016,2013
SENIOR,0,0,Main Library,March,2008,2003
ADULT,261,82,Ingleside,December,2013,2003
ADULT,76,54,Mission,November,2014,2005
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2013
ADULT,67,0,Parkside,January,2016,2011
YOUNG ADULT,34,2,Excelsior,July,2009,2003
ADULT,81,170,Main Library,January,2016,2008
ADULT,220,112,Main Library,June,2014,2004
ADULT,790,983,Sunset,July,2016,2004
ADULT,0,0,Main Library,September,2013,2010
SENIOR,1,1,West Portal,July,2015,2015
ADULT,59,21,Main Library,April,2016,2003
ADULT,23,29,Western Addition,March,2015,2008
ADULT,239,27,Ocean View,May,2016,2003
ADULT,22,3,Mission,July,2016,2003
ADULT,1,0,Main Library,August,2014,2012
ADULT,0,0,Anza,None,None,2014
ADULT,890,965,Mission,July,2016,2008
ADULT,0,0,Main Library,None,None,2009
JUVENILE,505,3,Portola,May,2016,2012
ADULT,7,15,North Beach,January,2016,2015
ADULT,3,0,Mission Bay,June,2015,2015
JUVENILE,10,0,Parkside,February,2016,2011
ADULT,20,0,Mission Bay,June,2016,2016
ADULT,24,50,West Portal,February,2016,2013
SENIOR,61,0,Sunset,July,2016,2015
ADULT,42,65,Parkside,September,2014,2007
ADULT,6,0,Main Library,May,2016,2015
ADULT,6,0,Main Library,September,2015,2015
ADULT,2,1,Glen Park,April,2015,2011
ADULT,12,18,Presidio,September,2015,2006
ADULT,22,2,Richmond,February,2015,2009
ADULT,18,22,West Portal,April,2016,2010
ADULT,1,0,Western Addition,July,2013,2013
ADULT,6,1,Chinatown,August,2012,2012
ADULT,134,60,Excelsior,June,2016,2007
ADULT,76,70,Mission,May,2016,2013
JUVENILE,1,0,Excelsior,August,2014,2014
ADULT,91,63,Glen Park,March,2015,2008
YOUNG ADULT,143,33,Excelsior,July,2016,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Main Library,None,None,2014
SENIOR,596,272,Park,July,2016,2003
ADULT,31,82,Mission,July,2016,2015
ADULT,271,68,Ortega,July,2016,2003
ADULT,115,128,Main Library,July,2016,2003
ADULT,81,31,Excelsior,June,2016,2010
ADULT,6,0,Mission,July,2016,2016
ADULT,1463,779,Main Library,July,2016,2004
SENIOR,78,30,Ortega,March,2016,2003
ADULT,10,0,Mission,May,2014,2008
JUVENILE,43,44,Potrero,January,2016,2014
ADULT,9,10,Main Library,November,2015,2004
ADULT,7,17,Main Library,December,2012,2003
ADULT,7,0,Main Library,July,2013,2010
WELCOME,0,0,Presidio,None,None,2015
ADULT,23,0,Main Library,February,2014,2013
ADULT,0,0,Main Library,August,2014,2014
ADULT,31,26,Main Library,July,2016,2012
YOUNG ADULT,1107,433,Chinatown,June,2016,2008
ADULT,1,0,Visitacion Valley,March,2015,2011
JUVENILE,59,0,Chinatown,April,2016,2010
SENIOR,1462,110,Chinatown,June,2015,2008
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Richmond,None,None,2012
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Mission,None,None,2016
ADULT,203,13,Ingleside,July,2016,2012
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,78,79,North Beach,July,2016,2003
ADULT,12,9,Ortega,August,2013,2012
WELCOME,1,0,North Beach,December,2015,2015
ADULT,58,11,Chinatown,September,2013,2009
JUVENILE,665,2,Chinatown,July,2016,2009
SENIOR,130,70,Anza,July,2016,2003
ADULT,1,0,Marina,March,2015,2015
ADULT,1022,62,Parkside,April,2016,2003
ADULT,0,0,Mission Bay,None,None,2014
ADULT,3,0,Main Library,August,2014,2014
WELCOME,1,1,Noe Valley/Sally Brunn,March,2016,2016
ADULT,1,0,Golden Gate Valley,October,2015,2015
YOUNG ADULT,894,174,Chinatown,July,2016,2007
ADULT,0,0,Presidio,None,None,2012
ADULT,8,15,Main Library,April,2014,2011
ADULT,714,156,Western Addition,July,2016,2008
ADULT,29,0,Bernal Heights,May,2015,2014
ADULT,32,41,Marina,July,2016,2010
JUVENILE,32,31,Anza,July,2016,2015
SENIOR,189,8,Excelsior,April,2016,2009
ADULT,6,5,Main Library,January,2016,2015
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Mission Bay,None,None,2011
WELCOME,0,0,Main Library,March,2016,2016
ADULT,4,4,Mission,November,2015,2015
ADULT,3,6,Richmond,October,2011,2010
ADULT,14,3,Main Library,August,2015,2010
ADULT,0,0,Main Library,None,None,2015
ADULT,376,286,Presidio,January,2016,2003
JUVENILE,16,0,Sunset,July,2016,2016
JUVENILE,14,0,Sunset,July,2016,2016
ADULT,883,547,Merced,July,2016,2003
ADULT,1,0,Excelsior,September,2015,2015
ADULT,1,0,Merced,January,2016,2016
SENIOR,703,224,Main Library,May,2016,2003
ADULT,490,80,Mission,May,2016,2003
